Degree,Institution,Graduation Year,Experience (Companies),Skills
M.Tech,"Perkins, Taylor and Giles",2012,"Davis, Donovan and Marshall; Fernandez, Smith and Logan; Skinner, Davis and Wall; Peters, Cisneros and Roberts; Gaines Ltd","Mobile Development, DevOps, Python, Project Management, Data Analysis, SQL"
M.Sc,Richardson PLC,2019,"Hall, Peters and Lucas; Rhodes-Joyce; Lutz PLC; Bennett, Medina and Smith","Cloud Computing, DevOps, Web Development, SQL"
M.Sc,"Bean, Myers and Lopez",2001,"Fischer, Atkins and Whitney; Moore LLC; Reyes-King; Brown-Bailey","Deep Learning, C++, Mobile Development, Blockchain, Python, Data Analysis"
B.Tech,"Barnes, Nelson and Rodriguez",2021,Ingram Group; Johnson-Huber; Wong-King; Mcintyre and Sons; Marks Ltd,"Java, AI, Deep Learning, Blockchain, Cybersecurity"
M.Sc,"Smith, Murphy and Bentley",2008,"Freeman, Jackson and Martin; Hill Ltd; Allen, Little and Wyatt; Montoya-Brown; Huber-Byrd","SQL, AI, Java, Machine Learning"
Diploma,Williams and Sons,2020,"Keller PLC; Cuevas-Kane; Cooper PLC; Tucker-Ramos; Anderson, Hatfield and Myers","DevOps, Cloud Computing, AI, SQL, Python, Machine Learning"
MBA,Allen-Contreras,2001,"Klein, Adams and Davies; Wood PLC; Lopez, Moon and Martin; Becker LLC","AI, C++, SQL, Machine Learning, Blockchain, Project Management"
M.Tech,Jenkins-Sims,2023,"Bell Ltd; Burns-Long; Sanders-Martin; Soto Inc; Richard, Tanner and Clark","Deep Learning, DevOps, AI, SQL"
B.Tech,Weiss PLC,2011,"Marks, Bass and Peterson; Smith, Alvarez and Lang; Olsen-Gardner; Russell-Watkins","Java, Cybersecurity, Python, C++, Mobile Development, Data Analysis, Web Development"
M.Sc,"Ray, Spencer and Hunter",2005,"Smith Inc; Brown, Kim and Spencer","Deep Learning, SQL, Web Development, Project Management, Python, Java"
B.Sc,Shelton-Watkins,2007,"Burnett-Collins; Long, Williams and Collins; Villegas-Jordan","SQL, Deep Learning, DevOps, Java, Python, Cloud Computing"
B.Sc,"Olson, Hall and Carr",2015,"Jimenez, Diaz and Clark; Tate, Davidson and Lopez","DevOps, Web Development, Cloud Computing, C++"
Diploma,White PLC,2023,"Jones, Hawkins and Hartman","C++, Java, SQL, Project Management"
M.Sc,Rodriguez Inc,2015,Brooks and Sons,"Web Development, AI, Java, C++, Data Analysis, Cloud Computing"
B.Tech,Davis-Holt,2004,"Love-Ortiz; Thompson-Green; Rose, Fritz and Wallace; Pham Group; Taylor-Garcia","Data Analysis, Mobile Development, Python, Machine Learning, Java, C++"
B.Sc,"Manning, Arias and Hurley",2007,Santiago-Scott,"Blockchain, Deep Learning, DevOps, Python, AI, SQL"
M.Sc,Owen Inc,2011,"Roberts PLC; Ashley Inc; Lane, Gates and Miller; Olson-Mcdaniel; Wilson-Evans","Mobile Development, Deep Learning, SQL, Web Development"
Diploma,"Reed, Gonzalez and Hernandez",2017,"Kennedy LLC; Cardenas, Matthews and Maldonado; Hansen-Colon","Machine Learning, Python, Project Management, Cloud Computing, SQL, C++"
MBA,Carlson PLC,2011,"Mcdowell, Brewer and Smith; Nelson-Aguilar","C++, SQL, Project Management, Python, Mobile Development, Cloud Computing, Machine Learning"
MBA,"Lopez, Henderson and Watson",2008,"Carpenter-Reynolds; Lynch-Smith; Page, Aguilar and Davila; Bailey PLC; Davis, Barron and Yoder","Cybersecurity, Data Analysis, Python, DevOps, SQL"
Diploma,Barnes-Butler,2019,"Henson, Taylor and Jensen; Williams-Valdez","AI, DevOps, Mobile Development, Cloud Computing"
MBA,King and Sons,2010,"Rocha, Thomas and Brown; Thompson-Barron; Collins, Tucker and Brewer; Mccann, Hendricks and Rodriguez","Mobile Development, Project Management, AI, C++, Cybersecurity"
PhD,Hawkins Ltd,2006,Clark-Clarke; Sullivan-Collier; Donaldson-Walton,"Cloud Computing, Deep Learning, Cybersecurity, Project Management, Web Development, AI"
Diploma,Bentley Group,2016,"Robertson Ltd; Koch LLC; Smith, Brown and Higgins; Rose Inc","Deep Learning, Blockchain, Cybersecurity, Python, DevOps"
MBA,Hernandez-Boyd,2005,Moreno Group; Rodriguez LLC; Barnett-Baker,"Machine Learning, AI, Deep Learning, Data Analysis"
Diploma,Anthony Ltd,2009,"Daniels, Dean and Hunt; Valentine PLC","Machine Learning, Project Management, Python, Data Analysis, Cybersecurity"
PhD,Jackson-Lewis,2021,Martinez-Nolan,"C++, Cybersecurity, Data Analysis, Web Development, Cloud Computing, Blockchain, AI"
M.Tech,"Price, Caldwell and Sanchez",2017,Diaz-Rivera,"DevOps, SQL, Project Management, Blockchain, Web Development, AI"
M.Tech,Koch LLC,2017,Lyons-Ritter; Martin and Sons,"DevOps, Blockchain, Project Management, Java"
Diploma,Park Ltd,2016,Wood-Gibson; Willis-Ferguson; Ray-Norris,"Cybersecurity, Deep Learning, Project Management, Java, C++, Mobile Development, Python"
M.Sc,Jones-Walker,2001,"Park Ltd; Cross-Bell; Lyons, Bates and Finley","Machine Learning, Cloud Computing, SQL, Python"
B.Sc,Martinez LLC,2019,Berg Group; Carroll-Higgins,"Mobile Development, Web Development, SQL, Blockchain, Cybersecurity, Data Analysis, Java"
MBA,Shea-Beltran,2007,"Rivera Ltd; Gonzales, Lee and Powell","Python, Blockchain, Machine Learning, Java, Deep Learning, Mobile Development"
PhD,"Fernandez, Snyder and Ritter",2009,Garcia-Davidson; Young Ltd; Gill-Perez,"SQL, Java, C++, Web Development, Project Management"
Diploma,Ferguson PLC,2018,"Blair, Watts and Espinoza","Data Analysis, DevOps, Java, Blockchain, SQL, Project Management, Cybersecurity"
M.Tech,Kelly-Fisher,2012,"Richards, Howard and Ruiz; Jackson, Payne and Davis","Data Analysis, Project Management, Cloud Computing, Cybersecurity, Java, Python"
M.Sc,Lamb Group,2008,"Wells, Lopez and Waller; Daniels-Mills; Whitehead PLC; Robinson, Welch and Garcia; Miller, Price and Watson","C++, Java, Data Analysis, AI, DevOps"
M.Sc,Jones Inc,2020,Johnson LLC; Hammond LLC,"DevOps, SQL, Mobile Development, Blockchain"
M.Sc,Jordan-Phillips,2015,"Wright, Galloway and Bell","Java, Python, Machine Learning, DevOps, Deep Learning, C++, Blockchain"
MBA,Frederick-Roberts,2024,"Duncan-Elliott; Logan, Montgomery and Wells; Garcia-Pena; Small, Hickman and Blake; Lee, Scott and White","Cloud Computing, Machine Learning, Mobile Development, Data Analysis, Python"
PhD,"Williams, Jackson and Reyes",2024,"Ortega, Pope and Hill","Python, Machine Learning, C++, Deep Learning"
MBA,"Lawrence, Parsons and Larson",2013,"Hopkins, Green and Vance; Marks-Sanchez; Bradley Inc; Marquez-Garcia","Mobile Development, Deep Learning, Project Management, Python, Web Development, AI"
MBA,Lawson-Garcia,2002,"Fitzgerald, Wallace and Murray; Jones and Sons; Ramos, Nelson and Gomez","SQL, Deep Learning, Machine Learning, Blockchain, Mobile Development"
MBA,Huerta Group,2003,"Smith, Payne and Davis; Anderson-Martinez; Torres LLC","C++, Project Management, SQL, Web Development, Deep Learning, Machine Learning, Cybersecurity"
PhD,Jones-Madden,2004,"Mcbride Ltd; Johnson, Watkins and Hopkins; White Ltd","AI, Data Analysis, Mobile Development, Cybersecurity, DevOps"
MBA,Ruiz and Sons,2001,Pearson LLC,"SQL, DevOps, Project Management, Cloud Computing"
B.Tech,Dudley LLC,2002,Cordova and Sons; Miller-Cline,"Cloud Computing, C++, DevOps, Project Management, Web Development, Deep Learning, AI"
M.Tech,Simmons-Brooks,2009,Calhoun-Cross,"Java, Mobile Development, Python, SQL, Cybersecurity"
B.Sc,Fisher-Baker,2014,"Larson-Rodriguez; Rios-Rodriguez; Richardson, Conrad and Flores","Python, Deep Learning, Project Management, Java"
PhD,Kaufman LLC,2005,"Clark, Peck and Walker; Church-Bryant; Edwards, Duffy and Powers","Cybersecurity, SQL, Deep Learning, Web Development, AI"
PhD,Gaines-Parker,2004,"Mcdaniel, Rodriguez and Moore; Joseph Inc; Ford Ltd","Cloud Computing, Machine Learning, C++, Data Analysis, Cybersecurity"
M.Tech,"Gomez, Smith and Edwards",2024,"Crawford, Rojas and Kemp; Williams LLC; Ross PLC; Williams, Dunn and Willis; Jones, Chan and May","DevOps, Project Management, Python, Data Analysis, Deep Learning, Cybersecurity, AI"
PhD,"Velazquez, Baker and Lee",2015,"Curtis Group; Lewis, Cole and Lewis; Edwards-Morris; Wright Group","Python, Machine Learning, Web Development, Data Analysis, C++"
B.Tech,Benitez-Andrade,2019,Glenn PLC; Hudson and Sons; Wade-Buckley,"Cloud Computing, Data Analysis, Python, Blockchain, Java, Cybersecurity"
M.Sc,"Stephens, Thomas and Becker",2006,Cox and Sons,"SQL, Cloud Computing, Cybersecurity, Mobile Development, C++"
B.Tech,Stephenson and Sons,2010,"Hunter, Huerta and Rogers","DevOps, Project Management, Mobile Development, SQL, Data Analysis"
Diploma,"Martinez, Burch and Shaw",2012,"Romero-Gutierrez; Jones, Ortiz and Kelly; Guerrero, Morales and Hernandez; Boone LLC; Daniel-Kelly","Mobile Development, Blockchain, Project Management, AI, Cloud Computing"
M.Sc,Rios Inc,2008,Hampton Ltd,"Python, Mobile Development, Java, Blockchain, Project Management, C++"
PhD,Gonzalez Group,2015,"Martin, Murphy and Black; Cohen, Johnson and Clark; Cox, Miller and Pittman; Mcgrath, Sharp and Contreras","Machine Learning, Python, Mobile Development, DevOps, AI, Project Management"
B.Sc,"Hobbs, Barr and Sullivan",2020,"Moss, Byrd and Moody; Snyder, Frank and Wiley","Project Management, Blockchain, C++, Machine Learning, Deep Learning, Web Development"
MBA,Stewart-White,2009,Pruitt Ltd; Lee Ltd,"Blockchain, Deep Learning, DevOps, Cybersecurity"
PhD,"Rodriguez, Bush and Stark",2013,"Gonzales-Thompson; Padilla, Hobbs and Hicks","Deep Learning, Python, Mobile Development, SQL"
B.Tech,Tucker PLC,2001,"Sims Group; Lopez, Jones and Waller","Web Development, Machine Learning, SQL, Java, Python"
MBA,"Campbell, Carter and Thompson",2008,"Smith, Mcguire and Nichols; Wheeler PLC; Williams Ltd; Peters-Stephens","AI, Cybersecurity, Cloud Computing, Mobile Development"
M.Tech,Mason Inc,2005,Fox-York,"AI, Java, Deep Learning, Mobile Development, C++, Cloud Computing, Machine Learning"
M.Tech,Rowe Inc,2001,Snyder-Lee,"DevOps, AI, SQL, Cloud Computing, Blockchain"
MBA,"Bryant, Riggs and Pitts",2010,"Kennedy, Garza and Alexander; Morris PLC; Jacobson, Hall and Sparks","Web Development, Blockchain, Data Analysis, C++"
PhD,Webster Group,2014,"Thornton, Garrison and Romero; Mitchell, Clayton and Bradley; Owen, Bright and Lopez; Smith, Bentley and Williams","Data Analysis, Machine Learning, Cybersecurity, Blockchain"
M.Sc,Hunter-Fischer,2001,"Leonard and Sons; Stevens, Evans and Powell; Carter Inc; Mueller-Lane","Project Management, Machine Learning, C++, Web Development, Python, SQL"
B.Tech,Ferguson LLC,2003,"Montes, Nelson and Parker; Kerr, Villarreal and Martin; Stevenson, Melton and Johnson; Wolf-Ray; Young, Clark and West","C++, Blockchain, Project Management, Data Analysis, Deep Learning, AI, Python"
M.Tech,Lee-Bell,2006,Robinson-Walter,"Cloud Computing, Project Management, Mobile Development, Data Analysis"
PhD,"Sullivan, Ortiz and Carpenter",2004,"Jones Ltd; Price, Anderson and Jackson","Project Management, SQL, AI, Deep Learning, Blockchain"
B.Tech,"Drake, Thompson and Hanson",2012,Cox-Tucker,"Java, Cybersecurity, Data Analysis, Web Development"
M.Tech,"Parks, Sullivan and Murphy",2019,"Horn and Sons; Martin, Duncan and Watkins; Johnson, Moore and Boyd; Lowery, Mckinney and Kelley","Deep Learning, DevOps, C++, Java, Cybersecurity, SQL, AI"
B.Tech,Gonzalez-Johnson,2006,Baird-Young; Jackson PLC,"AI, Deep Learning, Python, Machine Learning, Cybersecurity"
B.Tech,"Harris, Spencer and Pearson",2013,"Ward-Orr; Wallace-Williams; Terry-Johnson; Price, Christian and Bryant; Smith-Atkinson","Data Analysis, Project Management, Mobile Development, Blockchain, Python"
M.Sc,Skinner Inc,2000,"Ramirez Group; Taylor, Wong and Jones","Blockchain, Java, Machine Learning, DevOps, AI, Web Development, Cybersecurity"
Diploma,Ross Inc,2017,"Campos Group; Bender LLC; Barker, Graham and Jones; Rowe, Weber and Smith","Project Management, Cybersecurity, AI, Mobile Development, Java"
B.Sc,Perez Ltd,2024,"Mckinney, Garza and Stanley; Henderson-Wells","Data Analysis, Blockchain, C++, Machine Learning"
M.Sc,"Robinson, Moore and Moss",2012,"Miranda, Sparks and Johnson","Machine Learning, Cloud Computing, Java, SQL, Cybersecurity, Web Development"
M.Sc,Clark Group,2019,Smith Inc; Atkinson-Jones,"DevOps, Mobile Development, Cloud Computing, Cybersecurity, Java, Project Management"
B.Tech,"Salinas, Reynolds and Jones",2013,"Griffin-Howell; Vargas, Garrison and Cisneros; Mcdonald Ltd; Sanchez Ltd; Sharp and Sons","DevOps, SQL, Cybersecurity, Mobile Development, AI, Cloud Computing, Java"
B.Tech,"Martinez, Crawford and Gibson",2023,Sanchez-Evans; Garcia Inc; Hernandez PLC; Miranda-Sheppard; Vega-Garcia,"Cybersecurity, Machine Learning, Project Management, C++, Data Analysis"
PhD,Rollins-Cox,2009,Mack-Weber,"Web Development, Cloud Computing, Machine Learning, SQL"
MBA,Crawford Inc,2016,"Matthews-Jackson; Buchanan Inc; Hopkins, Hill and Meyer","DevOps, Deep Learning, Web Development, SQL"
B.Sc,"Gregory, Davidson and Mills",2015,Nguyen PLC,"Cloud Computing, DevOps, Web Development, Project Management, Data Analysis, AI"
M.Tech,Bauer-Kelly,2003,"Griffin, Fernandez and Boyd; Jones LLC; Reyes Ltd","C++, Cloud Computing, Blockchain, Project Management"
PhD,"Armstrong, Snow and Wood",2006,"Bryant LLC; Rose Ltd; Ross, Gibson and Lewis; Myers, Hill and Perez; Caldwell and Sons","Deep Learning, Java, Web Development, SQL, Machine Learning, DevOps, Mobile Development"
M.Sc,"James, Lee and Burgess",2005,"Davidson, Sutton and Adams; Goodwin, Jimenez and Maynard; Peterson, Johnson and Delgado; Lee LLC","Mobile Development, Blockchain, Python, Java, Data Analysis, SQL"
Diploma,Cobb-Bishop,2021,Oconnor-Branch,"Python, AI, Blockchain, Project Management, C++, Java, Cloud Computing"
B.Sc,Clark Ltd,2005,"Middleton, Jones and Fisher; Taylor-Wu; Powell, Sosa and Perez","Blockchain, Data Analysis, Python, Cybersecurity, DevOps"
M.Sc,Gomez PLC,2010,"Fox, Alvarez and Harris; Stanley-Love; Sanchez, Wright and Reyes","C++, Python, AI, Project Management"
B.Tech,"Juarez, Burns and Johnson",2011,Jones-House; Murray LLC; Gomez-Walsh,"Cloud Computing, Mobile Development, SQL, Java, Web Development, C++"
B.Sc,Marks Ltd,2006,"Murphy-Diaz; Stanton-Jackson; Lee, Sanders and Taylor; Marquez LLC; Castillo and Sons","Java, Data Analysis, Project Management, Machine Learning, Mobile Development"
Diploma,Bautista-Russo,2018,"Murray-Kelly; Harrington, Thomas and Holmes; Mathews, Serrano and Johnson; Rios-White; Odonnell Inc","C++, Cloud Computing, Project Management, Cybersecurity, Machine Learning, Deep Learning"
PhD,"Thomas, Williams and Merritt",2012,"Evans, Jordan and Parker; Eaton Inc","Project Management, Cloud Computing, Cybersecurity, Machine Learning"
MBA,"Gray, Brown and Lopez",2017,"Brown, Hudson and Solis; Fuller-Webb; Gordon, Fox and Lang","C++, SQL, Python, Cloud Computing"
B.Sc,Wong PLC,2007,"Guzman-Simmons; Perry-Ramirez; Jacobs, Bryant and Lucas; Cherry PLC; Bryan and Sons","AI, Blockchain, SQL, C++, Machine Learning, Project Management"
M.Tech,"Wallace, Walls and Blake",2017,"Thomas, Cruz and Garcia; Castro PLC; Martin-Pearson","Python, Machine Learning, Mobile Development, C++, Cybersecurity"
B.Sc,Rodriguez and Sons,2019,Camacho-Clarke,"Python, C++, DevOps, Project Management, Web Development, Deep Learning"
MBA,"Williams, Harrington and Henry",2000,"Cochran LLC; Scott-Roberts; Sullivan and Sons; Meadows, Ortiz and Moore","Blockchain, Machine Learning, Mobile Development, Cloud Computing, C++, Data Analysis"
PhD,"Garrison, Wagner and Durham",2021,"Myers, Perry and Williams","AI, Mobile Development, Data Analysis, Machine Learning, Cybersecurity, Blockchain"
B.Sc,Thompson PLC,2022,Ball Ltd,"DevOps, Project Management, Blockchain, Data Analysis, Java"
M.Tech,"Taylor, Velasquez and Warren",2008,"Lucas, Warren and Carter; House, Green and Montoya; Hickman-Huerta; Hill-Conway","Cloud Computing, Mobile Development, Project Management, Blockchain, Cybersecurity"
B.Tech,"Mercer, Evans and Herman",2004,Lawson-Hicks; James-Collins; Green-Hammond,"Cybersecurity, Python, Web Development, Data Analysis, Java, Cloud Computing, AI"
B.Sc,Pineda-Mills,2005,Cannon-Tanner; Hodge LLC,"Java, Cloud Computing, Cybersecurity, Mobile Development"
M.Tech,"Williams, Parks and Braun",2005,"Stevens, Smith and Brown; Stone Ltd; Morgan-Miller; Barnett Group","Blockchain, C++, Deep Learning, Mobile Development, Python"
M.Tech,James-Jensen,2002,Hansen-Fischer; Higgins-Davis,"Cloud Computing, Python, C++, Deep Learning"
MBA,Todd Group,2013,"Anthony Inc; Rogers, Dean and Williams; Herrera Ltd","SQL, Data Analysis, Machine Learning, Web Development, Python"
B.Sc,"Morris, Mcdaniel and Rasmussen",2022,Gomez Inc; Vazquez Ltd; Richards Inc,"C++, Project Management, Data Analysis, Web Development, Deep Learning"
B.Tech,"Sanchez, Peck and Stewart",2023,Lee-Moon,"Mobile Development, Python, Data Analysis, Machine Learning, SQL, Cybersecurity, Project Management"
M.Tech,Washington-Perkins,2006,"Ford, Harris and Schwartz; Mccann-Brown; Shannon Group; Rodriguez-Lee; Carr-Patterson","Blockchain, Cloud Computing, DevOps, AI"
B.Sc,Williams-Silva,2001,"Jones and Sons; Long, Rodgers and Rodriguez; Conway LLC","Blockchain, Mobile Development, Cloud Computing, Project Management, Web Development, Java, Cybersecurity"
M.Tech,Andrade LLC,2024,"Scott-Black; Bruce, Downs and Huang; Hall-Singh","Cloud Computing, DevOps, SQL, AI, Web Development"
Diploma,Richardson Inc,2002,Ward-Walters; Dickerson-Myers; Diaz Ltd,"DevOps, Machine Learning, Mobile Development, Deep Learning, C++, SQL, Cybersecurity"
B.Sc,Martin PLC,2012,Crawford-Kelly; Morris and Sons; Alexander and Sons; Smith Ltd,"Cybersecurity, Project Management, C++, Deep Learning, Data Analysis"
PhD,Perry Group,2014,"Parrish-Hayes; Green, Guzman and Small; Lin, Fernandez and Roberts; Ward, Nelson and Ramos","Cybersecurity, DevOps, Deep Learning, Web Development, Mobile Development"
B.Tech,"Fisher, Brown and Steele",2018,Harper Ltd; Owen-Pratt; Cain-Wiggins,"Blockchain, Web Development, Java, AI, Python"
B.Sc,Hensley Group,2005,Horton-Cunningham; Barker-Weaver; Alexander Group,"Blockchain, Cloud Computing, Project Management, AI, C++, Deep Learning, SQL"
PhD,Browning-Wood,2019,"Hill, Garcia and Rodriguez; Mitchell, Chen and Hall; Mclean-Smith; Campbell, Gonzalez and Frost","Data Analysis, Machine Learning, C++, Cybersecurity"
B.Tech,Miller-Carlson,2018,Jimenez-Hansen,"Python, Project Management, AI, Data Analysis, Cybersecurity, Deep Learning, Java"
B.Sc,Campos Inc,2011,"Farmer, Mccoy and Nichols; Newton-Zavala","SQL, Machine Learning, Data Analysis, Project Management, Python"
Diploma,Porter-Johnson,2010,Hammond-Williams,"Data Analysis, SQL, DevOps, Blockchain, AI, Cloud Computing"
B.Tech,Cole PLC,2008,"Miller, Marquez and King; Lang-Durham; Rose Group; Phillips, Young and Barrera","Cybersecurity, Python, Machine Learning, Mobile Development, Cloud Computing"
PhD,Reed-Green,2005,"Salinas PLC; Dixon, Jenkins and Fisher; Krueger-Nelson; Murphy-Wolfe","Machine Learning, Blockchain, Cloud Computing, SQL, AI, Cybersecurity"
B.Tech,Brooks and Sons,2024,Martinez LLC,"Cybersecurity, C++, Cloud Computing, Java, Mobile Development, Machine Learning, Web Development"
M.Tech,"Bennett, Taylor and Armstrong",2009,"Jordan, Terrell and Richardson; Hicks and Sons; King, Anderson and Cain; Johnson, Haynes and Nelson","DevOps, Cybersecurity, Cloud Computing, Machine Learning, C++, Java, SQL"
MBA,Garcia-Ewing,2009,Riley and Sons; Schroeder Ltd; Jensen-Bolton; Terrell PLC,"C++, Mobile Development, SQL, Data Analysis"
PhD,"Pennington, Leblanc and Nguyen",2009,Melton-Alexander; Hanson and Sons; Garcia-Johnson,"C++, Web Development, Data Analysis, Cloud Computing"
M.Tech,Roberts-Campos,2003,"Griffin-Love; Lambert-Hughes; Roberts, Nelson and Taylor","Cloud Computing, Blockchain, Python, Cybersecurity, Mobile Development, Data Analysis"
M.Tech,Douglas-Pratt,2019,Frazier-Williams,"Cybersecurity, AI, Cloud Computing, DevOps, Machine Learning, Project Management"
MBA,Bush PLC,2020,"Bell, Beltran and Hoffman; Gray-Hammond; Ross and Sons","Project Management, C++, Python, Mobile Development, DevOps, Machine Learning"
PhD,Burns-Young,2005,"Russell, Allen and Mann; Klein Ltd","Project Management, C++, Data Analysis, Web Development"
M.Tech,"Frazier, Moore and Nguyen",2010,"Williams, Russell and Hicks; Carpenter-Russell; Peters-Ross; Simon, Washington and Rasmussen; Young, Brown and Hunt","SQL, Mobile Development, Cloud Computing, Blockchain, Machine Learning"
B.Sc,Harmon-Cardenas,2010,Griffin-Hernandez,"Python, Deep Learning, SQL, Project Management, Java, Cloud Computing, Web Development"
B.Sc,Russo and Sons,2015,"Hunt-Anderson; Farmer, Murray and Montoya; Gregory-Cervantes; Perkins, Farrell and Copeland","DevOps, Deep Learning, Java, Web Development, Project Management, SQL, Machine Learning"
PhD,Kim-Obrien,2019,"Bates-Nunez; Johnson, Macdonald and Harrell; Rodriguez, Solis and Kirby; Erickson Group","Cloud Computing, Deep Learning, Python, Java"
Diploma,Wilson LLC,2021,"Chapman, Gross and Gonzalez","AI, Python, Java, C++"
Diploma,"Roberts, Taylor and Hunt",2020,"Matthews PLC; Herrera, Jones and Miller; Wilkins, Jones and Shaffer; Potter-Flores; Newton-Romero","Cybersecurity, Machine Learning, DevOps, Project Management, SQL, Cloud Computing"
PhD,Tran and Sons,2004,"Diaz, French and Adams; Sherman-Russell; Phillips, Willis and Goodman; Cherry PLC; Thomas, Briggs and Cox","Machine Learning, Java, Python, Project Management, Mobile Development, SQL"
PhD,"Duncan, King and Cooper",2019,"French, Jones and Wong; Reed-Mckinney; Stephens and Sons; Thompson, Williams and Logan","Machine Learning, Deep Learning, Mobile Development, C++"
B.Sc,Choi Inc,2018,Daniels-Bright,"Cybersecurity, DevOps, AI, Mobile Development"
B.Sc,Rice-Dunn,2017,Schultz-Shaw; Taylor Group; Mckinney Group; Rivera Group,"SQL, Data Analysis, DevOps, Project Management, Cloud Computing, Machine Learning"
PhD,Griffin-Dennis,2000,"Mcdonald, Carey and Fowler; Johnson and Sons; Gonzalez Group; Lucas, Rich and Kelley","DevOps, SQL, Project Management, Mobile Development"
M.Tech,Stevens Inc,2007,Warren-Sims,"Project Management, C++, SQL, Data Analysis, Machine Learning, Blockchain, Web Development"
Diploma,Escobar and Sons,2003,"Flores LLC; Bradshaw Ltd; Casey-Cruz; Gould PLC; Wilcox, Hayes and Taylor","Cybersecurity, Mobile Development, C++, Python, Data Analysis"
PhD,Rice Inc,2008,Pearson and Sons; Parker Group,"C++, AI, Web Development, Java, Cybersecurity, Blockchain"
M.Sc,Shaw and Sons,2000,"Flynn-Carson; Sanchez-Reese; Mcconnell Ltd; Rivera, Silva and Robinson; Bell-Bennett","Cloud Computing, SQL, Java, Cybersecurity, Machine Learning"
M.Sc,Scott-Smith,2019,"Ramsey-Leblanc; Schmidt-Harvey; Rios Inc; Davenport, Hopkins and Rodriguez; Peterson Ltd","Python, DevOps, SQL, C++, Web Development, Project Management"
Diploma,Sanford Group,2016,"Moore-Hall; Cook-Davis; Valenzuela, Glass and Atkinson","Machine Learning, Mobile Development, SQL, Project Management, Web Development, AI, Deep Learning"
B.Sc,Henry LLC,2002,"Roberts, Ibarra and Russell; Dawson Ltd; Delgado, Lee and Reilly","SQL, Python, DevOps, Java"
Diploma,Mclean-Duffy,2014,"Baldwin, Bauer and Rivera; Andrews LLC; Harrison, Martinez and Garcia; Johnson Inc; Meza-Navarro","Python, Cybersecurity, C++, Cloud Computing"
M.Tech,Barnes-Reid,2021,"Swanson, Davis and Robbins","C++, Machine Learning, Cloud Computing, Deep Learning, Project Management, Web Development, Cybersecurity"
M.Sc,"Mckay, Castro and Hill",2011,"Love Group; Hudson, King and Turner; Young-Perkins","Web Development, Python, Cloud Computing, SQL, Mobile Development"
M.Tech,"Oneill, Roth and Evans",2024,Sullivan-Lara,"Java, Data Analysis, DevOps, Cybersecurity, Web Development"
PhD,Davis-Knapp,2001,Cook and Sons,"Web Development, Blockchain, Data Analysis, C++, DevOps, Machine Learning"
M.Sc,Watson Ltd,2004,Espinoza-Alvarez,"C++, Deep Learning, Python, Data Analysis"
PhD,Sanchez-Goodwin,2021,"Coleman, Riley and Nelson; James, Gardner and Townsend; Hansen-Ramos; Barrett PLC; Sloan LLC","Project Management, Mobile Development, Machine Learning, DevOps, Java"
Diploma,"Harris, Clark and Flores",2024,"Pope-Campos; Jones-Castro; Pratt, Owens and Atkinson; King-Baker","Java, Data Analysis, AI, C++, Cybersecurity, Cloud Computing"
Diploma,"Franco, Ferguson and Pham",2005,"Anderson, Jacobs and Cook; Williams Group; Ward-Hendricks; Harvey Inc","Machine Learning, C++, SQL, Data Analysis"
B.Sc,Anderson Group,2021,"Dixon PLC; Hodges, Willis and Murray; Johnson-Miller","SQL, Deep Learning, Data Analysis, AI, Machine Learning, Web Development"
B.Tech,"Vargas, French and Brock",2001,Smith Ltd; Contreras-Harris,"Blockchain, Mobile Development, Machine Learning, AI, Java, Cybersecurity, Python"
Diploma,Hubbard-Carter,2023,"Graham, Solis and Ellis; Sweeney, Campbell and Sharp; Peters-Martin","C++, Blockchain, Mobile Development, Project Management, Web Development, Python"
Diploma,"Manning, Blake and Patrick",2004,"Bishop-Massey; Jimenez, Bowman and Torres","Web Development, Java, SQL, Mobile Development"
M.Sc,"Taylor, Bonilla and Daniels",2013,"Gonzalez Group; Williams, Martinez and Brown; Smith, Floyd and Garcia; Stafford-Guerrero","Cloud Computing, Java, DevOps, Mobile Development, AI, Blockchain"
B.Sc,"Jones, Rodriguez and Becker",2014,"Davis, Hansen and Reed; Reid-Obrien","Mobile Development, Data Analysis, Project Management, Java, Machine Learning, SQL"
M.Tech,Scott-Thompson,2016,"Hernandez, Acevedo and Gomez; Gallagher-Howard","Blockchain, Python, C++, Java, Project Management, AI"
M.Sc,Klein-Ferguson,2010,"Jenkins, Schneider and Cooper","Deep Learning, Python, C++, SQL, Cybersecurity, Blockchain, Java"
PhD,"Coleman, Bowen and Perez",2019,"Scott, Schultz and Jordan; Black-Robinson; Kline LLC; Rose, Fox and Howe; Lopez, Watkins and Cervantes","Web Development, Blockchain, DevOps, Data Analysis, Python, C++, Machine Learning"
Diploma,Chapman-Jordan,2007,"Hubbard, Villarreal and Mitchell; Cox Ltd; White-Harrison","SQL, Mobile Development, Cloud Computing, C++"
M.Tech,Shepherd-Marquez,2024,Ramirez and Sons,"DevOps, Project Management, Cybersecurity, Python, Deep Learning, C++, Java"
B.Tech,Hatfield-Warner,2006,Martinez and Sons,"Mobile Development, C++, SQL, Data Analysis, Deep Learning, Blockchain"
B.Sc,Simmons LLC,2013,Baker Inc,"SQL, Mobile Development, Blockchain, Java, C++"
